"Name";"n_Bewertungen";"Preiskat";"Adresse";"Stadtteil";"Kat1";"Kat2";"Kat3";"Kat4";"lat";"long"
"Mezem";39;"€";"Kantstr. 124";"Charlottenburg";"Mediterran";NA;NA;NA;52.50598;13.31105
"Stadtklause";173;"€";"Bernburger Str. 35";"Kreuzberg";"Deutsch";NA;NA;NA;52.5047772;13.3806215
"Spätzle Club";51;"€";"Seydelstr. 2";"Mitte";"Deutsch";"Schwäbisch";NA;NA;52.5105027;13.4025533
"Kourosh";17;"€€";"Lietzenburger Str. 20b";"Schöneberg";"Persisch";"Orientalisch";NA;NA;52.499973;13.339794
"Elefant";160;"€€";"Fuggerstr. 18";"Schöneberg";"Deutsch";NA;NA;NA;52.4990266;13.3453486
"Mädchen ohne Abitur";46;"€€";"Körtestr. 5";"Kreuzberg";"Deutsch";"Mediterran";NA;NA;52.4911749;13.4120678
"Die Gute Stube";7;"€€";"Pfalzburger Str. 24";"Wilmersdorf";"Deutsch";NA;NA;NA;52.493525;13.3215868
"Feel Seoul Good";13;NA;"Husemannstr. 2";"Prenzlauer Berg";"Koreanisch";NA;NA;NA;52.5369169;13.4176047
"Matreshka";183;"€€";"Boxhagener Str. 60";"Friedrichshain";"Russisch";"Ukrainisch";NA;NA;52.5062984;13.469621
"Gode Wind";5;NA;"Gustav-Holzmann-Str. 10";"Lichtenberg";"Fischrestaurant";"Eventlocation & Tagungsstätte";NA;NA;52.4923602;13.4866669
"AmmAmma";139;"€";"Urbanstr. 28a";"Kreuzberg";"Indisch";NA;NA;NA;52.49188;13.41165
"Shalimar";69;"€€";"Bellermannstr. 17A";"Wedding";"Pakistanisch";NA;NA;NA;52.552304;13.3875904
"BBI Berlinburger International";333;"€€";"Pannierstr. 5";"Reuterkiez";"Burger";NA;NA;NA;52.4865223;13.4309749
"Dolores";523;"€";"Rosa-Luxemburg-Str. 7";"Mitte";"Mexikanisch";NA;NA;NA;52.5237938;13.4091964
"Hangmee";30;"€€";"Boxhagener Str. 108";"Friedrichshain";"Laotisch";"Thailändisch";NA;NA;52.5130493;13.4574759
"Mabuhay";111;"€";"Köthener Str. 28";"Kreuzberg";"Indonesisch";"Asiatisch";NA;NA;52.5042363;13.376169
"Rembrandt-Burger";188;"€€";"Richard-Sorge-Str. 21";"Friedrichshain";"Burger";NA;NA;NA;52.5200878;13.448007
"Patta Finest Baked Potatoes";56;"€";"Krossener Str. 16";"Friedrichshain";"Kartoffeln";NA;NA;NA;52.5106033;13.4573481
"Guten Dag";21;"€";"Schönhauser Allee 120";"Prenzlauer Berg";"Koreanisch";"Brathähnchen & Broiler";NA;NA;52.5483165;13.4130471
"Southern Vittles";10;NA;"Lychener Str. 6";"Prenzlauer Berg";"Amerikanisch (Traditionell)";NA;NA;NA;52.5414986;13.415243
"Baraka";184;"€";"Lausitzer Platz 6";"Kreuzberg";"Marokkanisch";"Orientalisch";NA;NA;52.4998669;13.429802
"acht&dreissig";23;"€€";"Oranienburger Str. 38";"Mitte";"Deutsch";NA;NA;NA;52.5254649;13.391443
"Persepolis";41;"€€";"Kurfürstenstr. 127";"Schöneberg";"Persisch";NA;NA;NA;52.5024196;13.3517047
"Yarok";168;"€";"Torstr. 195";"Mitte";"Syrisch";NA;NA;NA;52.5282882;13.3919802
"Burgermeister";727;"€";"Oberbaumstr. 8";"Kreuzberg";"Fast Food";"Burger";NA;NA;52.5011464;13.4426258
"Muse";60;"€€";"Immanuelkirchstr. 31";"Prenzlauer Berg";"International";"Sandwich & Croque";"Burger";NA;52.5331661;13.4232641
"Zur kleinen Markthalle";76;"€€";"Legiendamm 32";"Kreuzberg";"Deutsch";NA;NA;NA;52.5037772;13.4161131
"I-Ke-Su";118;"€€";"Uhlandstr. 157";"Wilmersdorf";"Sushi";NA;NA;NA;52.4985519;13.3248697
"Taste";9;"€";"Alt-Moabit 54";"Tiergarten";"Singapurisch";NA;NA;NA;52.5241507;13.3290108
"Maison Umami";8;NA;"Schlesische Str. 5";"Kreuzberg";"Indonesisch";NA;NA;NA;52.5002943;13.4428305
"Sotto";4;NA;"Neue Hochstr. 25";"Wedding";"Italienisch";"Vegetarisch";NA;NA;52.5428492;13.3763722
"The Flying Monkey";28;"€€";"Kastanienallee 15";"Prenzlauer Berg";"Dim Sum";NA;NA;NA;52.5388499;13.4096638
"heimlichTreu";10;"€€€";"Anklamer Str. 38";"Mitte";"Modern-Europäisch";NA;NA;NA;52.5352959;13.3992516
"Style Stallone Sandwichbar";1;NA;"Reuterstr. 57";"Reuterkiez";"Sandwich & Croque";NA;NA;NA;52.4881392;13.4286967
"Gasthaus Krombach";110;"€€";"Meinekestr. 4";"Charlottenburg";"Deutsch";NA;NA;NA;52.5021517;13.3286923
"84";16;"€";"Habersaathstr. 52";"Mitte";"Vietnamesisch";NA;NA;NA;52.5323803;13.3795536
"Dragonbowl";12;NA;"Skalitzer Str. 75";"Kreuzberg";"Hawaiianisch";"Asiatisch";NA;NA;52.5009187;13.4403562
"NATA Lisboa";6;"€";"Pariser Str. 24";"Wilmersdorf";"Portugiesisch";NA;NA;NA;52.4987601;13.3172775
"Lecker Song";79;"€";"Schliemannstr. 19";"Prenzlauer Berg";"Dim Sum";NA;NA;NA;52.5441514;13.420393
"MA’LOA Hawaiian Poké Bowl";31;"€€";"Oranienburger Str. 7";"Mitte";"Hawaiianisch";"Acai Bowl";NA;NA;52.5237438;13.4004558
"Le Saint Amour";12;"€€";"Maybachufer 2";"Reuterkiez";"Französisch";NA;NA;NA;52.4953625;13.4215494
"Maria Bonita";186;"€€";"Danziger Str. 33";"Prenzlauer Berg";"Mexikanisch";NA;NA;NA;52.5403552;13.4181874
"Ushido";48;"€€€";"Lychener Str. 18";"Prenzlauer Berg";"Japanisch";"BBQ & Barbecue";NA;NA;52.54208;13.41665
"Momiji";9;"€€";"Bleibtreustr. 52";"Charlottenburg";"Japanisch";NA;NA;NA;52.5066369;13.32042
"Cocoro";78;"€€";"Mehringdamm 64";"Kreuzberg";"Japanisch";NA;NA;NA;52.4909054;13.3858635
"Malakeh";14;NA;"Potsdamer Str. 153";"Schöneberg";"Syrisch";NA;NA;NA;52.49538;13.36146
"Galilee Restaurant";5;NA;"Uhlandstr. 142";"Wilmersdorf";"Nahöstlich";NA;NA;NA;52.4949189;13.3242146
"Hafenküche";66;"€€";"Zur Alten Flussbadeanstalt 5";"Lichtenberg";"Biergarten";"International";NA;NA;52.4913572;13.489648
"Steakhouse Asador";233;"€€";"Wilhelmstr. 22";"Kreuzberg";"Steakhouse";NA;NA;NA;52.50383;13.3880601
"Pinoy";26;"€€";"Danckelmannstr. 49";"Charlottenburg";"Philippinisch";NA;NA;NA;52.5148838;13.2911023
"Paris-Moskau";84;"€€€";"Alt Moabit 141";"Tiergarten";"International";NA;NA;NA;52.5225702;13.3644441
"Takumi‘9 Sapporo";39;"€€";"Chausseestr. 124";"Mitte";"Ramen";NA;NA;NA;52.5290334;13.3846772
"Gasthaus Alt Wien";105;"€€";"Hufelandstr. 22";"Prenzlauer Berg";"Österreichisch";NA;NA;NA;52.5313358;13.4325175
"UMAMI";76;"€€";"Bergmannstr. 97";"Bergmannkiez";"Asiatisch";NA;NA;NA;52.4896754;13.3910197
"Mustafas Gemüse Kebap";1084;"€";"Mehringdamm 32";"Kreuzberg";"Imbiss";"Döner & Kebab";NA;NA;52.4938046;13.3877894
"Madang";137;"€€";"Gneisenaustr. 8";"Bergmannkiez";"Koreanisch";NA;NA;NA;52.49211;13.39017
"Schnitzelei";284;"€€";"Röntgenstr. 7b";"Charlottenburg";"Schnitzel";NA;NA;NA;52.5196594;13.3145014
"Monsieur Vuong";624;"€€";"Alte Schönhauser Str. 46";"Mitte";"Vietnamesisch";NA;NA;NA;52.5266441;13.4080507
"Repke Spätzlerei";79;"€";"Bleibtreustr. 46";"Charlottenburg";"Deutsch";NA;NA;NA;52.5042632;13.3201058
"The Meat";5;NA;"Damaschkestr. 17";"Charlottenburg";"BBQ & Barbecue";NA;NA;NA;52.5003373;13.2995869
"Mani";50;"€€";"Torstr. 136";"Mitte";"Mediterran";NA;NA;NA;52.5293802;13.3995504
"Ojo De Agua";13;"€€€";"Ludwigkirchstr. 10A";"Wilmersdorf";"Argentinisch";NA;NA;NA;52.4977817;13.3249715
"Birdhouse Imbiss";1;NA;"Heidestr. 58";"Tiergarten";"Imbiss";NA;NA;NA;52.5281083;13.3699193
"Esszimmer";33;"€€€";"Scharnhorststr. 28 - 29";"Mitte";"Deutsch";NA;NA;NA;52.5335588;13.3709693
"Agata Torrisi";7;NA;"Wöhlertstr. 5";"Mitte";"Italienisch";NA;NA;NA;52.5362;13.37798
"Al-Andalos";97;"€";"Sonnenallee 40";"Neukölln";"Imbiss";"Libanesisch";NA;NA;52.48552;13.43095
"Sahara";67;"€";"Reuterstr. 56";"Reuterkiez";"Afrikanisch";"Falafel";NA;NA;52.48849;13.4286301
"Momotaro Tavern";58;"€€";"Panoramastr. 1A";"Mitte";"Burger";"Asiatische Fusionsküche";NA;NA;52.5207132;13.4092793
"Picoteo";26;"€€";"Erkelenzdamm 47";"Kreuzberg";"Spanisch";"Portugiesisch";NA;NA;52.4977677;13.4132384
"Gaststätte Zum Ritter";9;"€€€";"Ritterlandweg 5";"Reinickendorf";"International";"Serbisch & Kroatisch";NA;NA;52.56081;13.36956
"Yam Yam";266;"€€";"Alte Schönhauser Str. 6";"Mitte";"Koreanisch";NA;NA;NA;52.5276072;13.4081676
"Marral";69;"€€";"Torstr. 222";"Mitte";"Nahöstlich";NA;NA;NA;52.52725;13.3887101
"Brauereigaststätte Leibhaftig";85;"€€";"Metzer Str. 30";"Prenzlauer Berg";"Brauerei";"Wirtshaus";NA;NA;52.5316016;13.4169735
"Böhmischer Garten";27;"€€";"Dönhoffstr. 35a";"Lichtenberg";"Österreichisch";"Ungarisch";"Tschechisch";NA;52.48342;13.5221
"DaBangg";85;"€€";"Hedwigstr. 18";"Schöneberg";"Koreanisch";"Teestube";NA;NA;52.4716116;13.3361783
"Fanous Restaurant";14;"€€";"Düppelstr. 38";"Steglitz";"Persisch";NA;NA;NA;52.4573881;13.3233827
"Zweistrom";133;"€";"Kollwitzstr. 104";"Prenzlauer Berg";"Arabisch";"Libanesisch";NA;NA;52.53924;13.42164
"Mogg";110;"€€";"Auguststr. 11 - 13";"Mitte";"Amerikanisch (Traditionell)";"Sandwich & Croque";NA;NA;52.5264862;13.3944418
"Dan Thai Food";30;"€";"Reinickendorfer Str. 96";"Wedding";"Thailändisch";NA;NA;NA;52.5475747;13.3688392
"BRASSERIE la bonne franquette";88;"€€€";"Chausseestr. 110";"Mitte";"Französisch";"Brasserie";NA;NA;52.5311574;13.3821219
"Angkor Wat";45;"€€";"Paulstr. 22";"Tiergarten";"Kambodschanisch";"Asiatisch";NA;NA;52.5203761;13.3560202
"Little Ethiopia";2;NA;"Gneisenaustr. 63";"Kreuzberg";"Äthiopisch";NA;NA;NA;52.4901656;13.4031509
"Papà Pane di Sorrento";239;"€€";"Ackerstr. 23";"Mitte";"Italienisch";NA;NA;NA;52.5321231;13.3963886
"Kyo Grill";28;"€€";"Kastanienallee 23";"Prenzlauer Berg";"Japanisch";"BBQ & Barbecue";NA;NA;52.5378726;13.4085682
"Rotisserie Weingrün";108;"€€€";"Gertraudenstr. 10 - 12";"Mitte";"BBQ & Barbecue";"Deutsch";NA;NA;52.512741;13.4031589
"Munch’s Hus";92;"€€";"Bülowstr. 66";"Kreuzberg";"Fischrestaurant";"Skandinavisch";NA;NA;52.4965092;13.3671485
"A Telha";29;"€€";"Holsteinische Str. 17";"Wilmersdorf";"Portugiesisch";"Spanisch";NA;NA;52.4906339;13.3253586
"Der Hahn ist tot";48;"€€";"Zionskirchstr. 40";"Mitte";"Französisch";"Deutsch";NA;NA;52.5340371;13.4044587
"Ristorante Nuovo Firenze";3;NA;"Invalidenstr. 6";"Mitte";"Italienisch";"Mediterran";NA;NA;52.5322276;13.3930809
"shaveiceberlin";0;NA;"Bernauer Str. 52";"Wedding";"Eisdiele & Frozen Yogurt";"Hawaiianisch";NA;NA;52.5405005;13.4038904
"Scheers Schnitzel";162;"€";"Warschauer Platz 18";"Friedrichshain";"Schnitzel";NA;NA;NA;52.5028938;13.4475149
"Shiso Burger";304;"€€";"Auguststr. 29c";"Mitte";"Burger";NA;NA;NA;52.5272762;13.3987744
"Bao Kitchen";2;NA;"Eisenbahnstr. 42/43";"Kreuzberg";"Asiatisch";NA;NA;NA;52.50202;13.43186
"Restaurant Scheune";49;"€€";"Eichkampstr. 155";"Charlottenburg";"Deutsch";NA;NA;NA;52.4889219;13.2612051
"Chay Village";88;"€";"Eisenacher Str. 40";"Schöneberg";"Vietnamesisch";"Vegetarisch";NA;NA;52.4898989;13.3487786
"Ya-Man Caribbean Soulfood";54;"€€";"Gotzkowskystr. 17";"Tiergarten";"Karibisch";NA;NA;NA;52.5244198;13.3296159
"Noodle Village";11;NA;"Kantstr. 32";"Charlottenburg";"Vietnamesisch";NA;NA;NA;52.5063512;13.3168043
"Txokoa";37;"€€€";"Weserstr. 6";"Reuterkiez";"Baskisch";"Tapas";NA;NA;52.48818;13.4275299
"Dicke Paula";27;"€";"Schlieperstr. 69";"Reinickendorf";"Deutsch";NA;NA;NA;52.586693;13.2853059
"Ixthys";145;"€€";"Pallasstr. 21";"Schöneberg";"Koreanisch";NA;NA;NA;52.4945335;13.3543232
"Grilled Pocket Sandwich G.P.S";7;"€";"Beusselstr. 63";"Tiergarten";"Café";"Sandwich & Croque";NA;NA;52.5294856;13.3283563
"Peter Schlemihl";13;"€";"Willibald-Alexis-Str. 25";"Bergmannkiez";"Deutsch";"Modern-Europäisch";NA;NA;52.4876267;13.3907713
"Jelänger Jelieber";44;"€€";"Kaskelstr. 49";"Lichtenberg";"Deutsch";"International";NA;NA;52.50385;13.48177
"Lieu in Berlin";43;"€€";"Kurfürstenstr.112";"Schöneberg";"Vietnamesisch";NA;NA;NA;52.5036963;13.3463736
"Restaurant DATA KITCHEN";5;"€";"Rosenthaler Str. 38";"Mitte";"Deutsch";NA;NA;NA;52.5243428;13.4026262
"Dolcini";34;"€€";"Jägerstr. 70";"Mitte";"Italienisch";NA;NA;NA;52.5139393;13.3867908
"Shaniu’s House of Noodles";62;"€";"Pariser Str. 58";"Wilmersdorf";"Chinesisch";"Koreanisch";NA;NA;52.4960978;13.3278272
"Cocolo Ramen";296;"€€";"Gipsstr. 3";"Mitte";"Ramen";NA;NA;NA;52.5271845;13.3993081
"Windburger";126;"€€";"Windscheidstr. 26";"Charlottenburg";"Burger";NA;NA;NA;52.5062301;13.2997112
"Ryu";3;NA;"Krossener Str. 17";"Friedrichshain";"Asiatische Fusionsküche";NA;NA;NA;52.5103149;13.4574748
"Rocoto";2;NA;"Winterfeldtstr. 17";"Schöneberg";"Peruanisch";NA;NA;NA;52.4959951;13.3585367
"Ständige Vertretung";179;"€€";"Schiffbauerdamm 8";"Mitte";"Deutsch";NA;NA;NA;52.5213166;13.3855104
"Schnitzelei Mitte";47;"€€€";"Chausseestr. 8";"Mitte";"Schnitzel";NA;NA;NA;52.5282475;13.3863459
"Rodolfo’s Tapas Bar";21;"€€";"Choriner Str. 62";"Prenzlauer Berg";"Spanisch";"Tapas";"Lateinamerikanisch";NA;52.5349511;13.4085186
"Good Time";225;"€€";"Hausvogteiplatz 11";"Mitte";"Indonesisch";"Thailändisch";NA;NA;52.5125708;13.3968198
"Restaurant Breslau";31;"€€";"Sredzkistr. 67";"Prenzlauer Berg";"Polnisch";NA;NA;NA;52.53752;13.4226
"Fes - Turkish BBQ";66;"€€";"Hasenheide 58";"Kreuzberg";"Türkisch";"BBQ & Barbecue";NA;NA;52.4892671;13.4087677
"El Pepe";18;"€";"Prinzenallee 25";"Wedding";"Spanisch";"Tapas";NA;NA;52.5566747;13.3851812
"Tacoriño";1;NA;"Knesebeckstr. 18/19";"Charlottenburg";"Mexikanisch";NA;NA;NA;52.5077211;13.3223445
"Ali Baba";115;"€";"Krossener Str. 17";"Friedrichshain";"Libanesisch";NA;NA;NA;52.5103149;13.4574748
"Mitho Cha!";8;"€€";"Rykestr. 40";"Prenzlauer Berg";"Himalayisch/Nepalesisch";NA;NA;NA;52.5374679;13.4210436
"Asteria";120;"€€";"Schönhauser Allee 143";"Prenzlauer Berg";"Griechisch";NA;NA;NA;52.5415645;13.411693
"Reinhard Bär";4;NA;"Am Hamburger Bahnhof 4";"Tiergarten";"Deutsch";NA;NA;NA;52.5316215;13.3691311
"Baba Angora";47;"€€";"Schlüterstr. 29";"Charlottenburg";"Türkisch";NA;NA;NA;52.5040123;13.3169277
"Maroush";122;"€";"Adalbertstr. 93";"Kreuzberg";"Libanesisch";NA;NA;NA;52.5009339;13.4186987
"Pauls Küche";6;NA;"Leberstr. 35";"Schöneberg";"Koreanisch";NA;NA;NA;52.4830451;13.3617459
"Nusantara";47;"€";"Turmstr. 18";"Tiergarten";"Indonesisch";NA;NA;NA;52.5264497;13.3491307
"Dolores";186;"€";"Bayreuther Str. 36";"Schöneberg";"Mexikanisch";NA;NA;NA;52.5011524;13.3439179
"Sofiabar";9;"€";"Platz der Vereinten Nationen 1";"Friedrichshain";"Bulgarisch";NA;NA;NA;52.5239122;13.4314575
"Bab & Kimchi";34;"€";"Schöneberger Str. 10";"Steglitz";"Koreanisch";NA;NA;NA;52.50323;13.3791
"tulus lotrek";14;"€€€";"Fichtestr. 24";"Kreuzberg";"Deutsch";NA;NA;NA;52.489677;13.4135991
"Mixtape";19;"€";"Kirchstr. 2";"Tiergarten";"Burger";NA;NA;NA;52.433648;13.2586894
"La Granja Grill";1;NA;"Emmentaler Str. 103";"Reinickendorf";"Peruanisch";"Mediterran";NA;NA;52.5713203;13.3627522
"Nußbaumerin";63;"€€";"Leibnizstr. 55";"Charlottenburg";"Österreichisch";NA;NA;NA;52.5013934;13.3128854
"Hackethals";38;"€";"Pflugstr. 11";"Mitte";"Deutsch";NA;NA;NA;52.53641;13.37916
"CHIBEE";10;"€";"Tegeler Str. 29a";"Wedding";"Koreanisch";NA;NA;NA;52.54295;13.35608
"PeterPaul";17;NA;"Torstr. 99";"Mitte";"Deutsch";NA;NA;NA;52.5299455;13.4042677
"Joseph-Roth-Diele";56;"€€";"Potsdamer Str. 75";"Tiergarten";"Deutsch";NA;NA;NA;52.5025606;13.3656365
"Ban Ban Kitchen";49;"€";"Schillerpromenade 32";"Schillerkiez";"Koreanisch";"Imbiss";NA;NA;52.4759791;13.4228692
"Bejte Ethiopia";122;"€€";"Zietenstr. 8";"Schöneberg";"Äthiopisch";NA;NA;NA;52.4993838;13.3570615
"Peking Ente";192;"€€";"Voßstr. 1";"Mitte";"Dim Sum";NA;NA;NA;52.5115276;13.3828073
"MA’LOA";1;NA;"Oberwallstr. 9";"Mitte";"Hawaiianisch";"Poke";NA;NA;52.5134504;13.396947
"Schwiliko";33;"€€";"Schlesische Str. 29";"Kreuzberg";"Georgisch";NA;NA;NA;52.4986158;13.4469154
"The Bird";668;"€€";"Am Falkplatz 5";"Prenzlauer Berg";"Burger";"Steakhouse";NA;NA;52.5466863;13.4058228
"Nosh Dehli";10;"€€";"Leberstr. 21";"Schöneberg";"International";NA;NA;NA;52.4842015;13.361701
"No58 Speiserei";14;"€€";"Weisestr. 58";"Schillerkiez";"Café";NA;NA;NA;52.478544;13.4238448
"Saigon Com Nieu";28;"€€";"Bülowstr. 9";"Schöneberg";"Vietnamesisch";"Asiatisch";NA;NA;52.4985591;13.35726
"Maharadscha";131;"€€";"Fuggerstr. 21";"Schöneberg";"Indisch";NA;NA;NA;52.4987304;13.3450252
"WaWa";81;"€€";"Grunewaldstr. 10";"Schöneberg";"Koreanisch";NA;NA;NA;52.4902317;13.355636
"merkez simit evi";3;"€";"Adalbertstr. 7";"Kreuzberg";"Türkisch";NA;NA;NA;52.5004761;13.4189519
"La Casa Buena Vista";62;"€€";"Bizetstraße 136";"Weißensee";"Kubanisch";"Cocktailbar";"Cajun/Kreolische Küche";NA;52.5500209;13.4650496
"Volver";63;"€€";"Luisenstr. 41";"Mitte";"Kleine Gerichte";NA;NA;NA;52.5223674;13.3799178
"Seoulkitchen";89;"€€";"Warschauer Str. 46";"Friedrichshain";"Sushi";"Koreanisch";"BBQ & Barbecue";NA;52.5037072;13.4472838
"Savanna";70;"€€";"Sredzkistr. 26";"Prenzlauer Berg";"Afrikanisch";"Äthiopisch";NA;NA;52.5382324;13.4163518
"Good Food In Berlin";1;NA;"Malmöer Str. 19";"Prenzlauer Berg";"Restaurants";NA;NA;NA;52.5534;13.40262
"Nobelhart & Schmutzig";31;"€€€€";"Friedrichstr. 218";"Kreuzberg";"Deutsch";NA;NA;NA;52.5053369;13.3904178
"Akko Restaurant";16;"€";"Pankstr. 52";"Wedding";"Nahöstlich";"Imbiss";NA;NA;52.5516802;13.3805083
"Avocado Club";9;NA;"Holteistr.13";"Friedrichshain";"Diner";NA;NA;NA;52.5082608;13.4661314
"Paracas 1";45;"€€";"Güntzelstr. 37a";"Wilmersdorf";"Lateinamerikanisch";NA;NA;NA;52.49148;13.32184
"Bryggeri Helsinki";1;NA;"Göhrener Str. 5";"Prenzlauer Berg";"Skandinavisch";NA;NA;NA;52.5415672;13.421547
"Zen Kitchen";4;"€";"Jägerstr. 67";"Mitte";"Asiatisch";NA;NA;NA;52.5139058;13.3871657
"El Borriquito";165;"€€";"Wielandstr. 6";"Charlottenburg";"Spanisch";NA;NA;NA;52.5057541;13.315517
"Ayan";16;"€€";"Potsdamer Str. 69";"Tiergarten";"Philippinisch";NA;NA;NA;52.503222;13.3662007
"Kubi";40;"€";"Torfstr. 18";"Wedding";"Asiatisch";NA;NA;NA;52.5414456;13.3497374
"Kreuzberger Himmel";3;NA;"Yorckstr. 89";"Kreuzberg";"Syrisch";NA;NA;NA;52.49283;13.38634
"Pan Africa Restaurant";15;"€€";"Kirchhofstr. 41";"Neukölln";"Afrikanisch";NA;NA;NA;52.4723803;13.4427572
"Cô Chu";56;"€€";"Invalidenstr. 29";"Mitte";"Vietnamesisch";NA;NA;NA;52.5312198;13.3844848
"Migo";1;NA;"Mainzer Str. 41";"Neukölln";"Marokkanisch";NA;NA;NA;52.4809835;13.4280388
"Seri Melayu";1;NA;"Stuttgarter Platz 6";"Charlottenburg";"Malaysisch";NA;NA;NA;52.5057922;13.3046488
"Cantinetta Trattoria & Pizzaria";40;"€€";"Goethestr. 38";"Charlottenburg";"Italienisch";NA;NA;NA;52.5091122;13.3071071
"Serrano";43;"€€€";"Pfalzburger Str. 83";"Wilmersdorf";"Peruanisch";NA;NA;NA;52.4988567;13.3231234
"Föllerei";44;"€€";"Weichselstr. 30";"Reuterkiez";"Deutsch";"Französisch";NA;NA;52.4873832;13.4377742
"Bellas Artes";112;"€€";"Pfalzburger Str. 72a";"Wilmersdorf";"Spanisch";NA;NA;NA;52.496024;13.3225404
"Louis Alfons";15;"€€";"Gerichtstr. 60";"Wedding";"Burger";"Steakhouse";NA;NA;52.5442931;13.3712242
"Basmah";14;"€€";"Reichenberger Str. 26";"Kreuzberg";"Afrikanisch";NA;NA;NA;52.49802;13.42111
"Olivengarten";28;"€€";"Spichernstr. 24";"Wilmersdorf";"Persisch";NA;NA;NA;52.4976789;13.3340865
"Royals & Rice";57;"€€";"Torstr. 164";"Mitte";"Asiatisch";NA;NA;NA;52.5288602;13.3959879
"Korean Food Stories";11;"€";"Prenzlauer Allee 217";"Prenzlauer Berg";"Koreanisch";NA;NA;NA;52.5351337;13.4213307
"Mmaah";30;"€";"Columbiadamm 160";"Neukölln";"Koreanisch";NA;NA;NA;52.4797;13.41637
"Wirtshaus Heuberger";56;"€€";"Gotenstr. 1";"Schöneberg";"Deutsch";NA;NA;NA;52.4847959;13.3600314
"Dada Falafel";260;"€";"Linienstr. 132";"Mitte";"Nahöstlich";"Falafel";NA;NA;52.5264611;13.3882483
"Wirtshaus Zum Mitterhofer";69;"€€";"Fichtestr. 1";"Kreuzberg";"Österreichisch";NA;NA;NA;52.49126;13.41254
"Kumpel & Keule Speisewirtschaft";9;NA;"Skalitzer Str. 97";"Kreuzberg";"Deutsch";NA;NA;NA;52.499674;13.429509
"Element Five";4;NA;"Skalitzer Str. 46b";"Kreuzberg";"Asiatische Fusionsküche";NA;NA;NA;52.4989386;13.4310351
"Altdeutsches Wirtshaus Budike";21;"€€";"Kochhannstr. 24";"Friedrichshain";"Deutsch";"Wirtshaus";NA;NA;52.5252126;13.4519063
"Hinterhof";3;NA;"Chausseestr. 122";"Mitte";"Mediterran";NA;NA;NA;52.5293567;13.384367
"Layla";10;NA;"Hallesche Str. 10";"Kreuzberg";"Nahöstlich";NA;NA;NA;52.50157;13.382959
"Zollpackhof";117;"€€";"Elisabeth-Abegg-Str. 1";"Tiergarten";"Deutsch";"Biergarten";NA;NA;52.5212476;13.3667896
"Gloria Empanadas";11;"€";"Danziger Str. 17";"Prenzlauer Berg";"Argentinisch";NA;NA;NA;52.5407322;13.4156941
"Handoyo’s";17;"€€";"Ludwigkirchplatz 2";"Wilmersdorf";"Indonesisch";NA;NA;NA;52.498051;13.3220028
"Dicke Wirtin";155;"€€";"Carmerstr. 9";"Charlottenburg";"Kneipe";"Ostdeutsch";NA;NA;52.5064582;13.323462
"BanhXeo Saigon";45;"€";"Greifswalder Str. 41";"Prenzlauer Berg";"Vietnamesisch";NA;NA;NA;52.5342984;13.4313789
"Taquería Ta’Cabrón";145;"€";"Skalitzer Str. 60";"Kreuzberg";"Mexikanisch";"Kneipe";NA;NA;52.4998347;13.4370758
"Zur Letzten Instanz";111;"€€€";"Waisenstr. 14 - 16";"Mitte";"Norddeutsch";NA;NA;NA;52.5173629;13.4137801
"Umami";173;"€€";"Knaackstr.16";"Prenzlauer Berg";"Vietnamesisch";"Asiatisch";NA;NA;52.5343815;13.4194867
"Lichtburg";40;"€€";"Behmstr. 9";"Wedding";"Deutsch";"Italienisch";NA;NA;52.5503712;13.3882687
"Mr. Hoang";20;"€€";"Gerichtstr. 30";"Wedding";"Vietnamesisch";NA;NA;NA;52.54505;13.36891
"The Tree";16;"€€";"Brunnenstr. 167";"Mitte";"Chinesisch";NA;NA;NA;52.5337744;13.3980739
"Mercan";48;"€";"Wiener Str. 10";"Kreuzberg";"Türkisch";NA;NA;NA;52.4985848;13.4279281
"Hängemate";2;NA;"Wilmersdorfer Str. 15";"Charlottenburg";"Café";"Lateinamerikanisch";NA;NA;52.5159488;13.3040659
"Hausbrauerei Eschenbräu";104;"€";"Triftstr. 67";"Wedding";"Biergarten";"Braugasthof";"Brennerei";NA;52.5438287;13.3593419
"Masel Topf";31;"€€";"Rykestr. 2";"Prenzlauer Berg";"Israelisch";NA;NA;NA;52.5348098;13.4195077
"Taverna Ousia";182;"€€";"Grunewaldstr. 54";"Schöneberg";"Griechisch";NA;NA;NA;52.4881688;13.3377084
"Kastanie";25;"€";"Schloßstr. 22";"Charlottenburg";"Deutsch";"Wein";"Bier & Spirituosen";NA;52.59197;13.28255
"Scent Restaurant";7;NA;"Spittelmarkt 13";"Mitte";"International";"Deutsch";NA;NA;52.51166;13.40141
"Heno Heno";31;"€";"Wielandstr. 37";"Charlottenburg";"Japanisch";NA;NA;NA;52.5038874;13.315713
"Max und Moritz";154;"€€";"Oranienstr. 162";"Kreuzberg";"Deutsch";NA;NA;NA;52.5025368;13.4139907
"Mantika Manti";1;NA;"Reichenbergerstr. 176";"Kreuzberg";"Türkisch";NA;NA;NA;52.4997045;13.4170335
"Karun Bistro";105;"€";"Pestalozzistr. 29";"Charlottenburg";"Persisch";"Arabisch";NA;NA;52.5080554;13.3078566
"Roca";10;NA;"Hardenbergstr. 28";"Wilmersdorf";"Mediterran";NA;NA;NA;52.5055866;13.3329304
